Compounds.1	Compounds.2	Correlation	P-value
taurolithocholicacid-3-sulfate	PC(14:0_17:0)	-0.8213558938906647	0.0010527084330920885
taurolithocholicacid-3-sulfate	PC(15:0_17:0)	0.8385737466069826	6.5396241255646e-4
taurolithocholicacid-3-sulfate	PC(17:0_15:1)	-0.7583661498177573	0.004252469341487728
taurolithocholicacid-3-sulfate	PC(16:0_20:2)	0.5721474372647991	0.05190720626222952
taurolithocholicacid-3-sulfate	PC(14:1_18:1)	0.8317669902745003	7.942993516272103e-4
taurolithocholicacid-3-sulfate	PC(15:1_18:1)	-0.6586859869473134	0.019843779133613747
taurolithocholicacid-3-sulfate	PC(15:1_18:2)	-0.6664385423619762	0.017953660644967357
taurolithocholicacid-3-sulfate	PC(14:1_20:2)	-0.656362479169386	0.020437535887998234
taurolithocholicacid-3-sulfate	PC(15:1_20:4)	-0.843922555777137	5.578291303318703e-4
taurolithocholicacid-3-sulfate	PC(14:1_22:6)	-0.7744481767889064	0.0031034524765386515
taurolithocholicacid-3-sulfate	PC(15:1_22:4)	0.5432775851208997	0.06792534524901733
taurolithocholicacid-3-sulfate	PC(15:0_18:1)	0.7828870644741527	0.002604383528589051
taurolithocholicacid-3-sulfate	PC(O-14:0_20:4)	-0.6917232874723299	0.012699089525690242
taurolithocholicacid-3-sulfate	PC(O-16:1_18:2)	-0.623762487915819	0.030198474530799387
taurolithocholicacid-3-sulfate	PC(O-18:1_24:1)	-0.7657255347715097	0.003692556048199689
taurolithocholicacid-3-sulfate	PC(O-18:1_22:0)	0.9575969732062551	1.0052921450211607e-6
taurolithocholicacid-3-sulfate	PC(O-16:0_16:1)	0.8285194898312367	8.68941113746313e-4
taurolithocholicacid-3-sulfate	PC(O-16:0_16:0)	0.7887729224301271	0.0022943423996306532
taurolithocholicacid-3-sulfate	PC(O-16:0_14:0)	0.6849806758524214	0.013971107492509441
taurolithocholicacid-3-sulfate	PC(O-22:2_20:4)	0.9173209264257721	2.6449870758105188e-5
taurolithocholicacid-3-sulfate	PC(O-16:1_22:6)	0.8507195207796492	4.51893946162818e-4
taurolithocholicacid-3-sulfate	PC(O-18:1_22:6)	-0.7694427358538676	0.0034319784205349307
taurolithocholicacid-3-sulfate	PC(O-18:0_22:6)	0.6895463745485136	0.013099986167201906
taurolithocholicacid-3-sulfate	PC(O-16:0_18:2)	-0.798295510112104	0.0018533686908948407
taurolithocholicacid-3-sulfate	PC(O-20:0_22:4)	-0.8427533928047001	5.778397210272235e-4
taurolithocholicacid-3-sulfate	PC(O-16:1_20:5)	0.7853235553243216	0.0024723955757697115
taurolithocholicacid-3-sulfate	PC(O-24:1_20:4)	0.5735994062691432	0.05117932542110893
taurolithocholicacid-3-sulfate	PC(O-20:0_20:4)	0.5618048722725144	0.05730315342405686
taurolithocholicacid-3-sulfate	PC(O-22:1_20:4)	0.8195634438411639	0.0011030510911529741
taurolithocholicacid-3-sulfate	PC(O-18:1_20:4)	-0.670935544448469	0.016919715900995624
taurolithocholicacid-3-sulfate	PC(O-16:1_20:4)	-0.8217347407100792	0.0010422987699235597
taurolithocholicacid-3-sulfate	PE(18:0_22:1)	0.8602092758580021	3.308864990341169e-4
taurolithocholicacid-3-sulfate	PE(16:0_17:1)	0.8834243079418509	1.389912378796867e-4
taurolithocholicacid-3-sulfate	PE(17:0_22:6)	0.7112341888420545	0.009499407148902496
taurolithocholicacid-3-sulfate	PE(22:6_16:0)	-0.4599527742058452	0.13245049009631385
taurolithocholicacid-3-sulfate	PE(20:5_18:1)	-0.8863500271298235	1.2302922886567446e-4
taurolithocholicacid-3-sulfate	PE(17:0_22:5)	-0.8799795276391477	1.5981360988394906e-4
taurolithocholicacid-3-sulfate	PE(18:0_20:5)	0.7802708094434905	0.00275202230646164
taurolithocholicacid-3-sulfate	PE(16:0_16:0)	-0.7881959503844609	0.002323420528790251
taurolithocholicacid-3-sulfate	PE(15:0_18:2)	0.6240884807700978	0.030086873361669448
taurolithocholicacid-3-sulfate	PE(14:0_20:2)	-0.7080811462441675	0.009970518155868028
taurolithocholicacid-3-sulfate	PE(18:0_16:2)	0.636997894774959	0.02590173743880817
taurolithocholicacid-3-sulfate	PE(18:1_20:2)	0.8088171937860322	0.0014449498172873216
taurolithocholicacid-3-sulfate	PE(20:2_20:4)	-0.7997769889095182	0.0017910762967837338
taurolithocholicacid-3-sulfate	PE(18:1_20:4)	-0.8571457409515599	3.667842027443144e-4
taurolithocholicacid-3-sulfate	PE(20:1_20:5)	-0.752316460530574	0.0047590032852100825
taurolithocholicacid-3-sulfate	PE(17:2_20:3)	0.9256335814503152	1.5795432954934264e-5
taurolithocholicacid-3-sulfate	PE(18:2_20:2)	0.8107030415636525	0.001379739976688805
taurolithocholicacid-3-sulfate	PE(15:0_22:4)	-0.6121195222448874	0.03438277198332647
taurolithocholicacid-3-sulfate	PE(17:0_18:2)	-0.7415358952758428	0.005773099658428624
taurolithocholicacid-3-sulfate	PE(16:0_19:2)	0.9406095844161575	5.264430870327506e-6
taurolithocholicacid-3-sulfate	PE(16:0_20:5)	-0.8249254865326657	9.577402600439236e-4
taurolithocholicacid-3-sulfate	PE(16:0_22:4)	0.8400257749817791	6.266873615913712e-4
taurolithocholicacid-3-sulfate	PE(22:6_18:1)	-0.708183468907992	0.009954961990068636
taurolithocholicacid-3-sulfate	PE(18:1_22:5)	0.7253780778146108	0.0075873369401127915
taurolithocholicacid-3-sulfate	PE(14:0_22:4)	-0.8092585416996365	0.001429480820085878
taurolithocholicacid-3-sulfate	PE(20:2_16:0)	0.7894510239819128	0.002260523873631876
taurolithocholicacid-3-sulfate	PE(18:0_18:2)	0.8577012836134748	3.6005976396798e-4
taurolithocholicacid-3-sulfate	PE(18:1_16:1)	-0.8383024614282694	6.591585297841187e-4
taurolithocholicacid-3-sulfate	PE(24:0_18:1)	-0.8393608094562724	6.390665191569521e-4
taurolithocholicacid-3-sulfate	PE(15:0_18:1)	-0.7886719477243556	0.002299411122686266
taurolithocholicacid-3-sulfate	PE(19:0_20:4)	0.6608802276161166	0.019294721195584102
taurolithocholicacid-3-sulfate	PE(20:4_18:0)	0.9165968089851784	2.7594193299889652e-5
taurolithocholicacid-3-sulfate	PE(20:3_18:0)	-0.7583922858230737	0.004250373651164566
taurolithocholicacid-3-sulfate	PE(18:1_18:2)	-0.7465051447943724	0.005287285773900856
taurolithocholicacid-3-sulfate	PE(14:0_18:3)	0.8427795818616379	5.77385484412715e-4
taurolithocholicacid-3-sulfate	PE(O-15:1_22:5)	-0.6329331314275767	0.027170902355630418
taurolithocholicacid-3-sulfate	PE(O-18:2_20:4)	-0.7552954284564036	0.004504189259115071
taurolithocholicacid-3-sulfate	PE(O-17:1_22:5)	0.8425886314013573	5.807037833412865e-4
taurolithocholicacid-3-sulfate	PE(O-17:1_20:5)	-0.6473744763343373	0.02285694249309064
taurolithocholicacid-3-sulfate	PE(O-16:1_20:5)	-0.8991626332519266	6.917288264339222e-5
taurolithocholicacid-3-sulfate	PE(O-20:2_22:6)	-0.8155347598397903	0.001222965400929373
taurolithocholicacid-3-sulfate	PE(O-16:1_20:4)	0.8948779285807612	8.454163722777896e-5
