index,Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Nanoarchaeota,k__Bacteria;__,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Calditrichota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Dadabacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Hydrogenedentes,k__Bacteria;p__Latescibacterota,k__Bacteria;p__Margulisbacteria,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospinota,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Synergistota,k__Bacteria;p__Verrucomicrobiota,group1
Gi4I1,3.0,7.0,0.0,0.0,2.0,0.0,1.0,501.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,467.0,0.0,0.0,0.0,0.0,3669.0,GillRes
Gi4I2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,453.0,0.0,0.0,0.0,0.0,3514.0,GillInf
Gi4I3,0.0,0.0,0.0,0.0,0.0,0.0,341.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1697.0,0.0,0.0,0.0,16.0,38.0,GillRes
Gi4I4,0.0,4.0,0.0,0.0,0.0,0.0,397.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,2093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.0,0.0,0.0,0.0,20.0,38.0,GillRes
Gi4I5,5.0,3.0,0.0,0.0,2.0,0.0,4.0,364.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,244.0,0.0,0.0,0.0,0.0,4185.0,GillRes
Gi7I1,85.0,3.0,0.0,0.0,0.0,0.0,88.0,260.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,27.0,2.0,0.0,2073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,0.0,0.0,0.0,0.0,498.0,GillRes
Gi7I2,141.0,12.0,0.0,0.0,22.0,14.0,67.0,121.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,198.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,26.0,3510.0,0.0,3.0,0.0,0.0,692.0,GillRes
Gi7I3,23.0,7.0,0.0,0.0,0.0,0.0,0.0,843.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,13.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,530.0,0.0,0.0,0.0,0.0,3256.0,GillRes
Gi7I4,6.0,7.0,0.0,0.0,0.0,0.0,0.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,3646.0,GillRes
Gi7I5,0.0,0.0,0.0,0.0,0.0,0.0,287.0,385.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,47.0,0.0,0.0,1915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.0,0.0,0.0,0.0,18.0,977.0,GillInf
Gi10I1,61.0,95.0,0.0,0.0,0.0,7.0,218.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,54.0,0.0,0.0,2931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,0.0,0.0,0.0,7.0,246.0,GillRes
Gi10I2,6.0,0.0,0.0,0.0,0.0,0.0,206.0,336.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,32.0,0.0,0.0,2255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.0,0.0,0.0,0.0,18.0,671.0,GillInf
